id,read.number,Numeric.Animal.ID,Capture.Week,Capture.Number,age.month.corrected,age.years,Sex,Average.BCS,Season,percent.cells.infected,Tvelifera.sc,TveliferaB,TveliferaUD,Tmutans1,Tmutans2,Tmutans3,TmutansMSD,Tmutans.sc,TmutansUD,TspBg,TspBf,Tparva
1c1,107517,1,2/25/14,1,54,4.5,F,3.5,wet,0.080777708,0.0357711,0.0340319,0,0.272487,0.111778,0.243292,0.030172,0.0276607,0,0,0.2108041,0.0340039
1c3,80013,1,6/6/14,3,57,4.83,F,2.75,dry,0.014946581,0.0208341,0,0,0.296177,0.10652,0.234924,0,0.0255583,0,0,0.2641195,0.0518666
1c4,63231,1,8/13/14,4,59,4.95,F,2.5,dry,0.015752625,0.0218406,0,0,0.241179,0.112002,0.2335884,0,0.0156094,0,0,0.2981138,0.0776676
5c1,61469,5,2/25/14,1,36,3,F,3.75,wet,0.114725275,0.10184,0.0795848,0,0.169907,0.0793408,0.179131,0.0264849,0.0332851,0.0166588,0.2673379,0,0.0464299
5c3,61387,5,6/6/14,3,39,3.33,F,3.625,dry,0.039959255,0.0627332,0.0968609,0,0.228175,0.135713,0.2295111,0,0.017968,0,0.1647907,0,0.0642481
5c4,56785,5,8/13/14,4,41,3.45,F,3.25,dry,0.130995401,0.0825922,0.0892313,0,0.18246,0.0741921,0.2060579,0,0.0146165,0,0.2919082,0,0.0589416
5c5,74884,5,10/14/14,5,43,3.62,F,1.5,dry,NA,0.0690134,0.0832087,0,0.235417,0.108995,0.2073474,0,0,0,0,0,0
5c6,81035,5,12/6/15,6,45,3.76,F,1.75,wet,0.106955381,0.0615783,0.0477942,0,0.215845,0.0912445,0.2098599,0,0,0,0.2815324,0,0.0921454
5c7,46243,5,2/23/15,7,48,3.99,F,3.75,wet,0.101074097,0.0780875,0.1065891,0,0.242091,0.115607,0.2481452,0,0,0,0.137059,0,0.0724218
5c8,34734,5,6/2/14,8,51,4.254794521,F,3.5,dry,0.023308906,0.0429838,0.0466978,0,0.284332,0.122128,0.3087463,0,0,0.0121495,0.143692,0,0.0392699
5c9,51584,5,8/4/15,9,53,4.42739726,F,3.25,dry,0.08324937,0.12616315,0.1574907,0,0.09268378,0.12976892,0.17398805,0,0,0,0.20791331,0,0.11199209
5c10,37318,5,10/5/15,10,55,4.6,F,3.5,dry,0.316648352,0.0907069,0.0764243,0,0.227585,0.103194,0.2064687,0,0,0,0.2162491,0,0.0793719
5c11,80467,5,12/1/15,11,57,4.753424658,F,3.75,wet,0.021342538,0.0978165,0.0822821,0,0.180807,0.0827296,0.1858775,0,0,0,0.2340837,0,0.136404
8c1,68672,8,2/25/14,1,36,3,F,3.5,wet,0.078517066,0.102356,0.109943,0,0.162774,0.0678006,0.1179956,0.0499912,0.121141,0.0154648,0.190689,0,0.0618447
8c4,65692,8,8/13/14,4,41,3.45,F,3,dry,0.047182081,0.0973635,0.1076082,0,0.149303,0.0663247,0.1019607,0,0.0161816,0,0.399211,0,0.0620471
8c5,71382,8,10/14/14,5,43,3.62,F,1.75,dry,0.06356745,0.0969012,0.0739262,0,0.146143,0.0787313,0.1536943,0.0143173,0.0300076,0.0193746,0.287734,0,0.0991707
8c6,91019,8,12/6/15,6,45,3.76,F,1.5,wet,0.070150862,0.0795548,0.0639646,0,0.119261,0.0731715,0.1442996,0.0258078,0.0299608,0,0.3338423,0,0.1301374
