"","as.numeric.B_coefficient2."
"1",3.37207000164127
"2",4.42996177399738
"3",5.23829798510448
"4",5.15261385310965
"5",4.45850308501926
"6",3.91036523840805
"7",3.37190799693182
"8",4.44325230600548
"9",5.23800747882632
"10",5.17090701422858
"11",4.42478349662631
"12",3.92093036209164
"13",3.37929799525803
"14",4.43319129591209
"15",5.23408034784913
"16",5.16461529249123
"17",4.44106250298254
"18",3.9170719484977
"19",3.36640773198763
"20",4.45174971728344
"21",5.26118055978494
"22",5.13712061644124
"23",4.4577934521573
"24",3.92482218533354
"25",3.04048708966663
"26",4.42932165175577
"27",5.31079260592687
"28",5.23633087827565
"29",4.66854455959874
"30",4.03451895209118
"31",3.04262152223629
"32",4.4106859010821
"33",5.31682442909165
"34",5.23645415396348
"35",4.6663395643156
"36",4.02671876633165
"37",3.02007838565161
"38",4.42783265231595
"39",5.31993549519001
"40",5.22031079887143
"41",4.69139321857099
"42",4.01357140526491
"43",3.03007287843814
"44",4.43876620486644
"45",5.29992052006221
"46",5.24213293221163
"47",4.66539793000452
"48",4.0301900828362
"49",3.68445780932445
"50",4.61753701007317
"51",5.30951638331904
"52",5.18230861973141
"53",4.44700452166508
"54",3.61430145643331
"55",3.69632557878307
"56",4.64228401141557
"57",5.30902648596667
"58",5.17446113325877
"59",4.4693352515341
"60",3.60888740963861
"61",3.69803553994052
"62",4.62546418006623
"63",5.32354608582271
"64",5.16921523343891
"65",4.47621171978853
"66",3.6000959917638
"67",3.7078399633967
"68",4.63127171489305
"69",5.29335207877615
"70",5.1806187064418
"71",4.45023606180742
"72",3.60443464956502
