"","as.numeric.B_coefficient."
"1",2.84532314745169
"2",3.81252527295478
"3",4.62353305702072
"4",4.58423877443898
"5",4.07732819340598
"6",3.4011190821863
"7",2.78174495422665
"8",3.86595250399184
"9",4.62422859567523
"10",4.57896142468522
"11",4.11438818077874
"12",3.3937800264606
"13",2.84027978121654
"14",3.78561566383572
"15",4.63594053213572
"16",4.60904482358109
"17",4.05833311984031
"18",3.39289272287064
"19",2.71571567453024
"20",3.82704655330842
"21",4.63227466796204
"22",4.56804019014132
"23",4.18123284486733
"24",3.30951118448944
"25",2.26650040538086
"26",3.82022398118667
"27",4.7153335825425
"28",4.72025576364349
"29",4.22521438048385
"30",3.54117856951948
"31",2.31171420740544
"32",3.84859075592725
"33",4.7029172686058
"34",4.73184112249229
"35",4.17660494417245
"36",3.57863015263197
"37",2.27360417691487
"38",3.81251895556686
"39",4.69248682228037
"40",4.73380166949897
"41",4.27199187334713
"42",3.49314037868625
"43",2.29695317154455
"44",3.8315389444111
"45",4.68758318913964
"46",4.75409260625968
"47",4.22339023779694
"48",3.51227665438344
"49",3.14114109868942
"50",4.02438404934047
"51",4.72216141963013
"52",4.61894127286234
"53",4.09333983326074
"54",3.03117557850376
"55",3.18952945043014
"56",3.98833412792255
"57",4.72130205624027
"58",4.64809079484704
"59",4.11075908718601
"60",3.00103034298636
"61",3.15014628378009
"62",4.00483703922576
"63",4.73027103160982
"64",4.60224315565026
"65",4.13679929395301
"66",2.98945139419469
"67",3.08257319512257
"68",4.08260414520697
"69",4.69466183843728
"70",4.65549415807061
"71",4.00822094897623
"72",3.09940300840634
